File,Status,Objective (Baseline),Time (s),Facilities Opened,Note
cap41.txt,FEASIBLE,1219963.2625,0.0003,11,Move2
cap42.txt,FEASIBLE,1322728.6500,0.0001,10,Move2
cap43.txt,FEASIBLE,1379538.1250,0.0001,10,Move2
cap44.txt,FEASIBLE,1506933.2625,0.0001,9,Move2
cap61.txt,FEASIBLE,951373.4250,0.0001,10,Move2
cap62.txt,FEASIBLE,1067595.0125,0.0001,6,Move2
cap63.txt,FEASIBLE,1148294.1250,0.0001,6,Move2
cap64.txt,FEASIBLE,1268934.5500,0.0001,5,Move2
cap71.txt,FEASIBLE,961206.7125,0.0001,9,Move2
cap72.txt,FEASIBLE,1003078.4000,0.0001,5,Move2
cap73.txt,FEASIBLE,1023841.3750,0.0001,3,Move2
cap74.txt,FEASIBLE,1038841.3750,0.0001,3,Move2
cap81.txt,FEASIBLE,973450.2625,0.0005,14,Move2
cap82.txt,FEASIBLE,1085401.7875,0.0002,11,Move2
cap83.txt,FEASIBLE,1160181.2250,0.0002,10,Move2
cap84.txt,FEASIBLE,1319663.0375,0.0001,10,Move2
cap91.txt,FEASIBLE,813466.5500,0.0001,13,Move2
cap92.txt,FEASIBLE,894669.7125,0.0001,7,Move2
cap93.txt,FEASIBLE,964888.5375,0.0001,6,Move2
cap94.txt,FEASIBLE,1046787.1750,0.0001,5,Move2
cap101.txt,FEASIBLE,813466.5500,0.0001,13,Move2
cap102.txt,FEASIBLE,871406.3625,0.0001,7,Move2
cap103.txt,FEASIBLE,920972.9625,0.0001,4,Move2
cap104.txt,FEASIBLE,951164.3500,0.0001,3,Move2
cap111.txt,FEASIBLE,973282.5875,0.0005,14,Move2
cap112.txt,FEASIBLE,1047759.7625,0.0004,11,Move2
cap113.txt,FEASIBLE,1160181.2250,0.0002,10,Move2
cap114.txt,FEASIBLE,1301399.2250,0.0001,10,Move2
cap121.txt,FEASIBLE,813466.5500,0.0002,13,Move2
cap122.txt,FEASIBLE,894669.7125,0.0001,7,Move2
cap123.txt,FEASIBLE,964888.5375,0.0001,6,Move2
cap124.txt,FEASIBLE,1046787.1750,0.0001,5,Move2
cap131.txt,FEASIBLE,813466.5500,0.0002,13,Move2
cap132.txt,FEASIBLE,871406.3625,0.0001,7,Move2
cap133.txt,FEASIBLE,920972.9625,0.0001,4,Move2
cap134.txt,FEASIBLE,951164.3500,0.0001,3,Move2
cap51.txt,FEASIBLE,1378150.2250,0.0001,6,Move2
