File,Greedy 2 Obj,Move 2 Obj,Time (s),Iterations,Facilities
cap41.txt,INFEASIBLE,INFEASIBLE,N/A,0,0
cap42.txt,INFEASIBLE,INFEASIBLE,N/A,0,0
cap43.txt,INFEASIBLE,INFEASIBLE,N/A,0,0
cap44.txt,INFEASIBLE,INFEASIBLE,N/A,0,0
cap61.txt,951373.4250000003,951373.4250000003,0.000198,1,10
cap62.txt,1067595.0125,1067595.0125,0.000132,1,6
cap63.txt,1148294.1250000002,1148294.1250000002,0.000246,1,6
cap64.txt,1268934.55,1268934.55,0.000116,1,5
cap71.txt,961206.7125000001,961206.7125000001,0.000265,1,9
cap72.txt,1003078.4000000003,1003078.4000000003,0.000299,1,5
cap73.txt,1023841.3750000005,1023841.3750000005,0.000136,1,3
cap74.txt,1038841.3750000005,1038841.3750000005,0.000125,1,3
cap81.txt,INFEASIBLE,INFEASIBLE,N/A,0,0
cap82.txt,INFEASIBLE,INFEASIBLE,N/A,0,0
cap83.txt,INFEASIBLE,INFEASIBLE,N/A,0,0
cap84.txt,INFEASIBLE,INFEASIBLE,N/A,0,0
cap91.txt,813466.5500000002,813466.5500000002,0.000272,1,13
cap92.txt,894669.7125000003,894669.7125000003,0.000178,1,7
cap93.txt,964888.5375000001,964888.5375000001,0.000391,1,6
cap94.txt,1046787.1749999999,1046787.1749999999,0.000242,1,5
cap101.txt,813466.5500000002,813466.5500000002,0.000241,1,13
cap102.txt,871406.3625000003,871406.3625000003,0.000174,1,7
cap103.txt,920972.9625000005,920972.9625000005,0.000185,1,4
cap104.txt,951164.3500000004,951164.3500000004,0.000129,1,3
cap111.txt,INFEASIBLE,INFEASIBLE,N/A,0,0
cap112.txt,INFEASIBLE,INFEASIBLE,N/A,0,0
cap113.txt,INFEASIBLE,INFEASIBLE,N/A,0,0
cap114.txt,INFEASIBLE,INFEASIBLE,N/A,0,0
cap121.txt,813466.5500000002,813466.5500000002,0.000317,1,13
cap122.txt,894669.7125000003,894669.7125000003,0.000384,1,7
cap123.txt,964888.5375000001,964888.5375000001,0.000217,1,6
cap124.txt,1046787.1749999999,1046787.1749999999,0.000230,1,5
cap131.txt,813466.5500000002,813466.5500000002,0.000317,1,13
cap132.txt,871406.3625000003,871406.3625000003,0.000251,1,7
cap133.txt,920972.9625000005,920972.9625000005,0.000413,1,4
cap134.txt,951164.3500000004,951164.3500000004,0.000193,1,3
cap51.txt,INFEASIBLE,INFEASIBLE,N/A,0,0
